ticker,price,share_issued,mcap,nd,cf,pe,ticker,right,stock_price,strike,expiry,rate,iv,option_price,delta,gamma,vega,rho,theta
MNDO,1.8700000047683716,20160826.0,37700744.71613431,17362000.0,6076000.0,7.79,3.874940441428342,MNDO,C,1.8700000047683716,2.5,20240517,0.05335,0.6836,0.2144334303327815,0.44517695463390783,0.40561887454953277,0.005631789600393698,0.0035897552086176384,-0.003643903683560971
SIG,74.94000244140625,70000000.0,5245800170.8984375,1675400000.0,873850000.0,8.41,148.77,SIG,C,74.94000244140625,65.0,20240419,0.05335,0.5207999999999999,16.50670861113265,0.6269802550886611,0.013661126456621094,0.2014233670136398,0.15364853576466364,-0.1203067655760313
AMTD,1.2100000381469727,377604189.0,456901083.0944567,5772720796.0,836830814.5,1.27,37.44934339433401,,,,,,,,,,,,,
BZH,23.670000076293945,31339214.0,741799197.7709923,1091718000.0,120496666.66666667,3.84,73.28469267501944,BZH,C,23.670000076293945,20.0,20240517,0.05335,0.6409,6.480056395103457,0.6476697985854207,0.03211461372363317,0.06697804846485217,0.05140441125499365,-0.04167463421896586
QIWI,5.670000076293945,62712975.0,355582573.0346203,94991000000.0,5751000000.0,1.15,2431.7296380852604,,,,,,,,,,,,,
TK,6.71999979019165,91374909.0,614039369.3087811,454087000.0,367389000.0,4.25,45.17626386911094,TK,C,6.71999979019165,5.0,20240419,0.05335,0.5801,2.041459081863495,0.6909657485942631,0.12729005510739336,0.016809733085291746,0.013116077563956188,-0.011059908283100358
MOMO,7.190000057220459,379047992.0,2725355084.1693,8834439000.0,2707357750.0,6.09,94.73211112539015,MOMO,C,7.190000057220459,6.0,20240419,0.05335,0.5801,1.8055143464718069,0.6398961603057338,0.1263447443899326,0.019100414535232983,0.014091572362313677,-0.012481136558901753
KT,12.279999732971191,256042678.0,3144204017.4692287,1369719000000.0,470116500000.0,6.86,23710.437835679877,KT,C,12.279999732971191,15.0,20240419,0.05335,0.5879,1.235639231636001,0.4586071254159584,0.07741046198715155,0.03459591272208801,0.022160940571670153,-0.02251842649085367
GGB,4.440000057220459,1758849464.0,7809291720.802174,18385130000.0,5098110000.0,4.27,39.438412109610766,GGB,C,4.440000057220459,3.0,20240315,0.05335,0.9081999999999999,1.6569287601763196,0.6589362421791576,0.14238834629410052,0.010406754250658649,0.005179273444596229,-0.01225327376090641
SVA,6.46999979019165,99502243.0,643779491.3335986,11505840000.0,3459639000.0,6.66,463.3285502920773,,,,,,,,,,,,,
TPH,26.170000076293945,99094458.0,2593301973.420307,2912194000.0,410396750.0,5.58,70.80276376303506,TPH,C,26.170000076293945,22.5,20240419,0.05335,0.5042,5.7741437481602755,0.6334024681874943,0.04017990593783911,0.0699429850647281,0.05445391222586699,-0.04074063100274349
