"ticker","price","share_issued","mcap","nd","cf","pe","ticker","right","stock_price","strike","expiry","rate","iv","option_price","delta","gamma","vega","rho","theta"
HOV,76.75,7023797.0,539076419.75,604175000.0,79365250.0,3.62,,,,,,,,,,,,,
BXC,73.4749984741211,9008476.0,661897760.3541565,528059000.0,132998250.0,4.94,BXC,C,73.4749984741211,60.0,20240517,0.0533,0.5986,20.521389549187212,0.6670094432552411,0.010817511343411758,0.20399991300207987,0.16623995405024677,-0.11981212996256452
ASRT,2.377500057220459,56512962.0,134359570.38869762,95298000.0,26801500.0,1.34,ASRT,C,2.377500057220459,2.0,20240315,0.0533,4.4922,1.7175570575863406,0.7322177270331133,0.048093373772244555,0.005018614006336264,9.571491917556461e-05,-0.027441698943738255
FF,6.809999942779541,43763243.0,298027682.32584715,273775000.0,52499250.0,7.09,FF,C,6.809999942779541,5.0,20240517,0.0533,0.5761999999999999,2.2034583500067537,0.7187974348599214,0.1125333034382554,0.017548309170749236,0.015706865914390425,-0.010098065710072301
BZH,23.010000228881836,31339214.0,721115321.3129768,1091718000.0,120496666.66666667,3.73,BZH,C,23.010000228881836,20.0,20240517,0.0533,0.6476999999999999,6.0721174486832865,0.6354806979841935,0.03300040965935344,0.0660409349739642,0.049896233636235014,-0.04120700237609068
TK,6.485000133514404,91374909.0,592566297.0648665,454087000.0,367389000.0,4.08,TK,C,6.485000133514404,5.0,20240419,0.0533,0.5313,1.807864033454503,0.6845732216505728,0.14490401985812368,0.016410397173207414,0.01333821312506087,-0.01000366108405042
HSII,25.239999771118164,20037959.0,505758080.57367516,441788000.0,116159750.0,8.5,HSII,C,25.239999771118164,30.0,20240419,0.0533,0.6199,3.0193935938776946,0.4778508979135681,0.03575935055572387,0.0715762294118093,0.04582709993469957,-0.0485896616618328
RMR,24.030000686645508,16614152.0,399238083.96803284,373548000.0,82565666.66666667,6.53,RMR,C,24.030000686645508,30.0,20240419,0.0533,0.5388000000000001,1.9215511845913422,0.4363267123917395,0.04272776677418193,0.06737894580556746,0.04340343294657612,-0.040377465979818485
TPH,26.059999465942383,99094458.0,2582401522.55785,2912194000.0,410396750.0,5.51,TPH,C,26.059999465942383,22.5,20240419,0.0533,0.5142,5.7684668275517215,0.6306393232695158,0.039555395770292295,0.070010870143419,0.054060515507123645,-0.04119808307836212
AMTD,1.184999942779541,377604189.0,447460942.358315,5772720796.0,836830814.5,1.25,,,,,,,,,,,,,
